SCHOOL NO.,ENGLISH CATEGORY,ENGLISH NAME,ENGLISH ADDRESS,LONGITUDE,LATITUDE,EASTING,NORTHING,STUDENTS GENDER,SESSION,DISTRICT
513997000133 ,Aided Secondary Schools,SHENG KUNG HUI ST BENEDICT'S SCHOOL,CHOI HUNG ESTATE 11 LAM CHUNG AVENUE WONG TAI SIN KOWLOON,114-12-22,22-20-7,839271,821804,CO-ED,WHOLE DAY,WONG TAI SIN
518409000133 ,Aided Secondary Schools,YCH LAN CHI PAT MEMORIAL SECONDARY SCH,10 YUK NGA LANE TSEUNG KWAN O NEW TERRITORIES,114-15-17,22-19-28,844274,820614,CO-ED,WHOLE DAY,SAI KUNG
214477000133 ,Aided Secondary Schools,NING PO COLLEGE,7 KUNG LOK ROAD KWUN TONG KOWLOON,114-13-20,22-18-60,840934,819733,CO-ED,WHOLE DAY,KWUN TONG
518360000133 ,Aided Secondary Schools,BAPTIST WING LUNG SECONDARY SCHOOL,"TAI HING GARDENS, PHASE II 6A HO HING CIRCUIT TUEN MUN NEW TERRITORIES",113-58-17,22-23-56,815096,828861,CO-ED,WHOLE DAY,TUEN MUN
260312000133 ,Aided Secondary Schools,HONG KONG SEA SCHOOL,13 - 15 TUNG TAU WAN ROAD STANLEY HONG KONG,114-12-53,22-13-6,840167.7,808850,BOYS,WHOLE DAY,SOUTHERN
230758000133 ,Aided Secondary Schools,LINGNAN DR CHUNG WING KWONG MEM SEC SCH,ESTATE SECONDARY SCHOOL NO 2 LAI KING ESTATE KWAI CHUNG NEW TERRITORIES,114-7-39,22-21-11,831196,823762,CO-ED,WHOLE DAY,KWAI TSING
230120000133 ,Aided Secondary Schools,CCC HOH FUK TONG COLLEGE,"28 CASTLE PEAK ROAD, SAN HUI TUEN MUN NEW TERRITORIES",113-58-42,22-23-46,815822,828556,CO-ED,WHOLE DAY,TUEN MUN
545147000133 ,Aided Secondary Schools,LING LIANG CHURCH E WUN SEC SCH,37 MAN TUNG ROAD TUNG CHUNG NEW TERRITORIES,113-56-41,22-17-25,812337,816849,CO-ED,WHOLE DAY,ISLANDS
213195000133 ,Aided Secondary Schools,ST STEPHEN'S CHURCH COLLEGE,"62 POKFULAM ROAD POKFULAM, HONG KONG",114-8-18,22-17-7,832284,816255,CO-ED,WHOLE DAY,CENTRAL AND WESTERN
230774000133 ,Aided Secondary Schools,PLK CENTENARY LI SHIU CHUNG MEM COLL,ESTATE SECONDARY SCHOOL NO 2 AND 5/F AND NEW ANNEX TAI HING ESTATE TUEN MUN NEW TERRITORIES,113-58-10,22-24-14,814911.4,829402.4,CO-ED,WHOLE DAY,TUEN MUN
510998000133 ,Aided Secondary Schools,ST PAUL'S SECONDARY SCHOOL,"18A, VENTRIS ROAD HAPPY VALLEY HONG KONG",114-11-5,22-16-21,837079,814849,GIRLS,WHOLE DAY,WAN CHAI
512605000133 ,Aided Secondary Schools,LAI CHACK MIDDLE SCHOOL,180 CANTON ROAD TSIMSHATSUI KOWLOON,114-10-6,22-18-5,835385,818062,CO-ED,WHOLE DAY,YAU TSIM MONG
511650000133 ,Aided Secondary Schools,CCC ROTARY SECONDARY SCHOOL,157 LUNG CHEUNG ROAD WONG TAI SIN KOWLOON,114-11-19,22-20-30,837478,822509,CO-ED,WHOLE DAY,WONG TAI SIN
213705000133 ,Aided Secondary Schools,HONG KONG TANG KING PO COLLEGE,25 & 27 KENNEDY ROAD HONG KONG,114-10-17,22-16-26,835707,815009,BOYS,WHOLE DAY,WAN CHAI
170666000133 ,Aided Secondary Schools,SKH HOLY TRINITY CHURCH SECONDARY SCHOOL,G/F-5/F & 6/F (RECREATION ROOM ONLY) 2 HAU MAN STREET OI MAN ESTATE KOWLOON,114-10-48,22-18-38,836577,819074,CO-ED,WHOLE DAY,KOWLOON CITY
190438000133 ,Aided Secondary Schools,PENTECOSTAL LAM HON KWONG SCHOOL,YUE TIN COURT SHATIN NEW TERRITORIES,114-12-9,22-23-5,838893,827270,CO-ED,WHOLE DAY,SHA TIN
214752000133 ,Aided Secondary Schools,COGNITIO COLLEGE (KOWLOON),96 KING FUK STREET SAN PO KONG KOWLOON,114-11-52,22-20-3,838426,821675,CO-ED,WHOLE DAY,WONG TAI SIN
190284000133 ,Aided Secondary Schools,LUI CHEUNG KWONG LUTHERAN COLLEGE,G/F - 4/F 2 LABORATORIES 1 GENERAL PURPOSE ROOM CLASSROOMS 501-503 STUDENT ACTIVITY CENTRE AND 2 INTERVIEW ROOMS AT 5/F ESTATE SECONDARY SCHOOL NO 5 ON TING ESTATE TUEN MUN N T,113-58-41,22-23-18,815796.4,827686.6,CO-ED,WHOLE DAY,TUEN MUN
190349000133 ,Aided Secondary Schools,PLK YAO LING SUN COLLEGE,ESTATE SECONDARY SCHOOL NO 3 SHEK WAI KOK ESTATE TSUEN WAN NEW TERRITORIES,114-7-25,22-22-26,830769,826078,CO-ED,WHOLE DAY,TSUEN WAN
512141000233 ,Aided Secondary Schools,HONG KONG TRUE LIGHT COLLEGE,1 LEI TUNG ESTATE ROAD APLEICHAU HONG KONG,114-9-29,22-14-34,834342,811549,GIRLS,WHOLE DAY,SOUTHERN
133469000133 ,Aided Secondary Schools,ST JOAN OF ARC SECONDARY SCHOOL,55 BRAEMAR HILL ROAD NORTH POINT HONG KONG,114-11-57,22-16-57,838577.5,815961.5,BOYS,WHOLE DAY,EASTERN
282758000233 ,Aided Secondary Schools,CARITAS CHONG YUET MING SEC SCH,"53 WAH FU ROAD, WAH FU ESTATE, POKFULAM HONG KONG",114-8-7,22-15-11,831985,812687,CO-ED,WHOLE DAY,SOUTHERN
270040000133 ,Aided Secondary Schools,CARITAS CHAI WAN MARDEN FDN SEC SCH,330 SAN HA STREET WORKSHOP BLOCK CLASSROOM BLOCK (EXCLUDING ROOMS 201A 201B 205 & 206 ON G/F) & HALL BLOCK (EXCLUDING ROOMS 311 & 312 ON 1/F) HONG KONG,114-14-37,22-15-53,843148,813981,CO-ED,WHOLE DAY,EASTERN
171042000233 ,Aided Secondary Schools,LINGNAN SECONDARY SCHOOL,"6 SHING HONG LANE, HENG FA CHUEN HONG KONG",114-14-20,22-16-47,842673,815643,CO-ED,WHOLE DAY,EASTERN
170585000133 ,Aided Secondary Schools,SALVATION ARMY WILLIAM BOOTH SEC SCH,100 YUK WAH STREET TSZ WAN SHAN KOWLOON,114-12-21,22-20-49,839238,823094,CO-ED,WHOLE DAY,WONG TAI SIN
284955000133 ,Aided Secondary Schools,HK SKH BISHOP HALL SECONDARY SCHOOL,82 HIU KWONG STREET SAU MAU PING KOWLOON,114-14-1,22-18-52,842120,819486,BOYS,WHOLE DAY,KWUN TONG
170143000133 ,Aided Secondary Schools,LEE KAU YAN MEMORIAL SCHOOL,NKIL 4644 SAN PO KONG KOWLOON,114-11-41,22-19-55,838109,821432,CO-ED,WHOLE DAY,WONG TAI SIN
527467000233 ,Aided Secondary Schools,CHI LIN BUDDHIST SECONDARY SCHOOL,9 CHI LIN DRIVE DIAMOND HILL KOWLOON,114-12-23,22-20-25,839311,822357,CO-ED,WHOLE DAY,WONG TAI SIN
190195000133 ,Aided Secondary Schools,IMMACULATE HEART OF MARY COLLEGE,4 JAT MIN CHUEN STREET JAT MIN CHUEN SHATIN NEW TERRITORIES,114-11-31,22-22-34,837829.3,826308.9,CO-ED,WHOLE DAY,SHA TIN
170046000133 ,Aided Secondary Schools,CHOI HUNG ESTATE CATHOLIC SEC SCH,CHOI HUNG ESTATE 1 TSE WAI AVENUE WONG TAI SIN KOWLOON,114-12-25,22-20-7,839358.9,821793.8,BOYS,WHOLE DAY,WONG TAI SIN
170518000133 ,Aided Secondary Schools,KWUN TONG MARYKNOLL COLLEGE,100 TSUI PING ROAD KWUN TONG KOWLOON,114-13-41,22-19-7,841553.9,819955.8,BOYS,WHOLE DAY,KWUN TONG
230782000133 ,Aided Secondary Schools,BUDDHIST SUM HEUNG LAM MEMORIAL COLLEGE,G/F - 4/F AND ROOMS 610 - 616 & 2 LABORATORIES AT 5/F ESTATE SECONDARY SCHOOL NO 1 TAI HING ESTATE 3 LEUNG CHOI LANE TUEN MUN NEW TERRITORIES (INCLUDING TWO PREFABRICATED ROOMS AT THE OPEN PLAYGROUND OF G/F),113-58-7,22-24-12,814827.5,829361.6,CO-ED,WHOLE DAY,TUEN MUN
524808000133 ,Aided Secondary Schools,HKTA THE YUEN YUEN INT NO 3 SEC SCH,2 TONG MING STREET SHEUNG TAK ESTATE TSEUNG KWAN O NEW TERRITORIES,114-15-25,22-18-42,844515.5,819204.1,CO-ED,WHOLE DAY,SAI KUNG
230464000133 ,Aided Secondary Schools,SHI HUI WEN SECONDARY SCHOOL,2 LEUNG CHOI LANE TUEN MUN NEW TERRITORIES,113-58-10,22-24-17,814908,829495,CO-ED,WHOLE DAY,TUEN MUN
213209000133 ,Aided Secondary Schools,YU CHUN KEUNG MEMORIAL COLLEGE,27 MAN FUK ROAD WATERLOO HILL HOMANTIN KOWLOON,114-10-43,22-19-7,836447,819959,BOYS,WHOLE DAY,KOWLOON CITY
151335000133 ,Aided Secondary Schools,ELCHK YL LUTHERAN SECONDARY SCHOOL,"TIN YIU ESTATE TIN SHUI WAI , YUEN LONG NEW TERRITORIES",114-0-14,22-27-7,818468,834717,CO-ED,WHOLE DAY,YUEN LONG
170593000133 ,Aided Secondary Schools,STFA SEAWARD WOO COLLEGE,22 PERTH STREET HOMANTIN KOWLOON,114-10-57,22-19-21,836839,820388,CO-ED,WHOLE DAY,KOWLOON CITY
190152000133 ,Aided Secondary Schools,CHENG CHEK CHEE SEC SCH OF SK&HH DIST NT,8 CHUK KOK ROAD CHUK KOK SAI KUNG NEW TERRITORIES & SPORTS GROUND AT HIRAM'S HIGHWAY SAI KUNG NEW TERRITORIES,114-15-27,22-20-34,844584.1,822646.1,CO-ED,WHOLE DAY,SAI KUNG
514802000133 ,Aided Secondary Schools,"WAH YAN COLLEGE, HONG KONG",281 QUEEN'S ROAD EAST WANCHAI HONG KONG,114-10-35,22-16-28,836221,815051,BOYS,WHOLE DAY,WAN CHAI
113794000133 ,Aided Secondary Schools,DMHC SIU MING CATHOLIC SEC SCH,6 KWAI YIP STREET KWAI CHUNG NEW TERRITORIES,114-7-43,22-21-55,831287,825131,GIRLS,WHOLE DAY,KWAI TSING
517020000133 ,Aided Secondary Schools,PLK MA KAM MING COLLEGE,38 WAH MING ROAD FANLING NEW TERRITORIES,114-8-29,22-28-54,832617,838016,CO-ED,WHOLE DAY,NORTH
530689000133 ,Aided Secondary Schools,ST ROSE OF LIMA'S COLLEGE,29 NGAN SHING STREET SHATIN NEW TERRITORIES,114-12-15,22-22-50,839074,826828,GIRLS,WHOLE DAY,SHA TIN
170801000233 ,Aided Secondary Schools,GERTRUDE SIMON LUTHERAN COLLEGE,1 TOWN PARK ROAD NORTH YUEN LONG NEW TERRITORIES,114-1-10,22-26-26,820072,833479,CO-ED,WHOLE DAY,YUEN LONG
190357000133 ,Aided Secondary Schools,CARMEL ALISON LAM FOUNDATION SEC SCH,4 WAH KING HILL ROAD KWAI CHUNG NEW TERRITORIES,114-8-1,22-21-3,831823,823523,CO-ED,WHOLE DAY,KWAI TSING
190411000133 ,Aided Secondary Schools,CARMEL BUNNAN TONG MEMORIAL SEC SCH,ESTATE SECONDARY SCHOOL NO 2 PHASE I AND 5/F WU KING ESTATE AREA 28 TUEN MUN NEW TERITTORIES,113-57-54,22-22-33,814435.9,826303.6,CO-ED,WHOLE DAY,TUEN MUN
210129000133 ,Aided Secondary Schools,KAU YAN COLLEGE,FU SHIN ESTATE TAI PO NEW TERRITORIES,114-10-36,22-27-21,836245,835145,CO-ED,WHOLE DAY,TAI PO
170623000133 ,Aided Secondary Schools,TWGH CHANG MING THIEN COLLEGE,300 NAM CHEONG STREET SHAMSHUIPO KOWLOON,114-10-8,22-20-19,835456,822176,CO-ED,WHOLE DAY,SHAM SHUI PO
